DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,SYMBOL
2025-03-17,275.45,276.82,274.22,275.77,28523503,TSLA
2025-03-18,275.79,277.9,274.12,275.65,72501803,TSLA
2025-03-19,275.39,277.68,271.58,274.09,77329124,TSLA
2025-03-20,278.81,280.15,277.29,277.53,72374277,TSLA
2025-03-21,274.88,276.26,272.26,274.87,50464044,TSLA
2025-03-24,279.36,282.89,278.36,279.98,77327264,TSLA
2025-03-25,280.81,282.32,278.97,281.42,21549375,TSLA
2025-03-26,283.26,283.94,280.43,283.48,61328906,TSLA
2025-03-27,286.34,287.13,284.45,286.55,29715582,TSLA
2025-03-28,287.39,287.73,285.74,287.19,54904137,TSLA
2025-03-31,291.84,293.25,290.33,292.46,41692763,TSLA
2025-04-01,294.03,296.34,293.62,294.85,65881329,TSLA
2025-04-02,293.54,295.77,291.78,294.36,48067895,TSLA
2025-04-03,298.42,299.16,296.58,298.79,72453561,TSLA
2025-04-04,301.39,302.54,299.87,301.76,36842017,TSLA
2025-04-07,305.83,306.41,304.13,305.95,58628473,TSLA
2025-04-08,304.27,307.14,302.48,305.19,44814929,TSLA
2025-04-09,308.65,310.77,307.12,309.52,69201485,TSLA
2025-04-10,311.28,312.63,309.74,311.89,51387641,TSLA
2025-04-11,314.92,315.58,313.27,315.3,75574207,TSLA
2025-04-14,317.56,318.53,316.8,318.71,39760563,TSLA
2025-04-15,321.2,322.48,320.33,322.12,63946829,TSLA
2025-04-16,324.84,325.43,323.86,325.53,48133395,TSLA
2025-04-17,328.48,329.38,327.39,328.94,72319761,TSLA
2025-04-18,332.12,333.33,330.92,332.35,56506127,TSLA
2025-04-21,335.76,336.28,334.45,335.76,80692493,TSLA
2025-04-22,339.4,340.23,338.98,340.17,24878859,TSLA
2025-04-23,343.04,344.18,341.51,343.58,49065425,TSLA
2025-04-24,346.68,347.13,345.04,346.99,33251991,TSLA
2025-04-25,350.32,351.08,348.57,350.4,57438557,TSLA
2025-04-28,353.96,355.03,352.1,353.81,41625123,TSLA
2025-04-29,357.6,358.98,355.63,357.22,65811689,TSLA
2025-04-30,361.24,362.93,359.16,360.63,49998255,TSLA
2025-05-01,364.88,365.88,362.69,364.04,74184821,TSLA
2025-05-02,368.52,369.83,366.22,367.45,58371387,TSLA
2025-05-05,372.16,373.78,369.75,370.86,82557953,TSLA
2025-05-06,375.8,376.73,373.28,374.27,26744519,TSLA
2025-05-07,379.44,380.68,376.81,377.68,50931085,TSLA
2025-05-08,383.08,384.63,380.34,381.09,35117651,TSLA
2025-05-09,386.72,387.58,383.87,384.5,59304217,TSLA
2025-05-12,390.36,391.53,387.4,387.91,43490783,TSLA
2025-05-13,393.99,395.48,390.93,391.32,67677349,TSLA
2025-05-14,397.63,398.43,394.46,394.73,51863915,TSLA
2025-05-15,401.27,402.38,397.99,398.14,76050481,TSLA
2025-05-16,404.91,405.33,401.52,401.55,60237047,TSLA
2025-05-19,408.55,409.28,405.05,404.96,84423613,TSLA
2025-05-20,412.19,413.23,408.58,408.37,28610179,TSLA
2025-05-21,410.38,413.18,408.11,410.78,52796745,TSLA
2025-05-22,408.57,410.13,407.64,408.19,36983311,TSLA
2025-05-23,406.76,408.08,405.17,405.6,61169877,TSLA
2025-05-26,404.95,406.03,404.7,405.01,45356443,TSLA
2025-05-27,403.14,404.98,402.23,402.42,69543009,TSLA
2025-05-28,401.33,402.93,399.76,399.83,53729575,TSLA
2025-05-29,399.52,400.88,397.29,397.24,77916141,TSLA
2025-05-30,397.71,398.83,396.82,396.65,62102707,TSLA
2025-06-02,395.9,396.78,394.35,394.06,86289273,TSLA
2025-06-03,394.09,394.73,391.88,391.47,30475839,TSLA
2025-06-04,392.28,393.68,389.41,388.88,54662405,TSLA
2025-06-05,390.47,391.63,386.94,386.29,38848971,TSLA
2025-06-06,388.66,389.58,384.47,383.7,63035537,TSLA
2025-06-09,386.85,387.53,382,381.11,47222103,TSLA
2025-06-10,385.04,385.48,379.53,378.52,71408669,TSLA
2025-06-11,383.23,384.43,377.06,375.93,55595235,TSLA
2025-06-12,381.42,382.38,374.59,373.34,79781801,TSLA
2025-06-13,379.61,380.33,372.12,370.75,23968367,TSLA
2025-06-16,377.8,378.28,369.65,368.16,48154933,TSLA
2025-06-17,375.99,376.23,367.18,365.57,32341499,TSLA
2025-06-18,374.18,374.18,364.71,362.98,56528065,TSLA
2025-06-19,372.37,373.13,362.24,360.39,40714631,TSLA
2025-06-20,370.56,371.08,359.77,357.8,64901197,TSLA
2025-06-23,368.75,369.03,357.3,355.21,49087763,TSLA
2025-06-24,366.94,366.98,354.83,352.62,73274329,TSLA
2025-06-25,365.13,364.93,352.36,350.03,57460895,TSLA
2025-06-26,363.32,362.88,349.89,347.44,81647461,TSLA
2025-06-27,361.51,360.83,347.42,344.85,25834027,TSLA
2025-06-30,359.7,358.78,344.95,342.26,50020593,TSLA
2025-07-01,357.89,356.73,342.48,339.67,34207159,TSLA
2025-07-02,356.08,354.68,340.01,337.08,58393725,TSLA
2025-07-03,354.27,352.63,337.54,334.49,42580291,TSLA
2025-07-04,352.46,350.58,335.07,331.9,66766857,TSLA
2025-07-07,350.65,348.53,332.6,329.31,50953423,TSLA
2025-07-08,348.84,346.48,330.13,326.72,75139989,TSLA
2025-07-09,347.03,344.43,327.66,324.13,59326555,TSLA
2025-07-10,345.22,342.38,325.19,321.54,83513121,TSLA
2025-07-11,343.41,340.33,322.72,318.95,27699687,TSLA
2025-07-14,341.6,338.28,320.25,316.36,51886253,TSLA
2025-07-15,339.79,336.23,317.78,313.77,36072819,TSLA
2025-07-16,337.98,334.18,315.31,311.18,60259385,TSLA
2025-07-17,336.17,332.13,312.84,308.59,44445951,TSLA
2025-07-18,334.36,330.08,310.37,306,68632517,TSLA
2025-07-21,332.55,328.03,307.9,303.41,52819083,TSLA
2025-07-22,330.74,325.98,305.43,300.82,77005649,TSLA
2025-07-23,328.93,323.93,302.96,298.23,61192215,TSLA
2025-07-24,327.12,321.88,300.49,295.64,85378781,TSLA
2025-07-25,325.31,319.83,298.02,293.05,29565347,TSLA
2025-07-28,323.5,317.78,295.55,290.46,53751913,TSLA
2025-07-29,321.69,315.73,293.08,287.87,37938479,TSLA
2025-07-30,319.88,313.68,290.61,285.28,62125045,TSLA
2025-07-31,318.07,311.63,288.14,282.69,46311611,TSLA
2025-08-01,316.26,309.58,285.67,280.1,70498177,TSLA
2025-08-04,314.45,307.53,283.2,277.51,54684743,TSLA
2025-08-05,312.64,305.48,280.73,274.92,78871309,TSLA
2025-08-06,310.83,303.43,278.26,272.33,63057875,TSLA
2025-08-07,309.02,301.38,275.79,269.74,87244441,TSLA
2025-08-08,307.21,299.33,273.32,267.15,31431007,TSLA
2025-08-11,305.4,297.28,270.85,268.56,55617573,TSLA
2025-08-12,303.59,295.23,268.38,269.97,39804139,TSLA
2025-08-13,301.78,293.18,265.91,271.38,63990705,TSLA
2025-08-14,299.97,291.13,263.44,272.79,48177271,TSLA
2025-08-15,298.16,289.08,260.97,274.2,72363837,TSLA
2025-08-18,296.35,287.03,258.5,275.61,56550403,TSLA
2025-08-19,294.54,284.98,256.03,277.02,80736969,TSLA
2025-08-20,292.73,282.93,253.56,278.43,24923535,TSLA
2025-08-21,290.92,280.88,251.09,279.84,49110101,TSLA
2025-08-22,289.11,278.83,248.62,281.25,33296667,TSLA
2025-08-25,287.3,276.78,246.15,282.66,57483233,TSLA
2025-08-26,285.49,274.73,243.68,284.07,41669799,TSLA
2025-08-27,283.68,272.68,241.21,285.48,65856365,TSLA
2025-08-28,281.87,270.63,238.74,286.89,50042931,TSLA
2025-08-29,280.06,268.58,236.27,288.3,74229497,TSLA
2025-09-01,278.25,266.53,233.8,289.71,58416063,TSLA
2025-09-02,276.44,264.48,231.33,291.12,82602629,TSLA
2025-09-03,274.63,262.43,228.86,292.53,26789195,TSLA
2025-09-04,272.82,260.38,226.39,293.94,50975761,TSLA
2025-09-05,271.01,258.33,223.92,295.35,35162327,TSLA
2025-09-08,271.07,274.3,267.44,270.48,78791267,TSLA
2025-09-09,271.05,271.86,270.2,270.59,43347522,TSLA
2025-09-10,268.63,271.68,266.21,268.05,54015316,TSLA
2025-09-11,265.85,266.44,263.04,265.81,57723641,TSLA
2025-09-12,271.42,274.3,268.47,270.86,72423500,TSLA
